Age,Education Level,Years of Experience,Role,Department,Location,Salary
54,Master,18,System Administrator,Finance,New York,142072.39
32,Associate,5,Data Analyst,Customer Support,Austin,55096.2
58,Associate,9,Data Scientist,Marketing,Austin,95919.89
41,Master,11,Product Manager,HR,Los Angeles,156105.66
41,Associate,4,Manager,Marketing,Boston,91343.48
36,Master,4,QA Engineer,Marketing,Chicago,78906.83
22,Master,0,Business Analyst,Marketing,New York,82221.22
50,Bachelor,13,Software Engineer,Operations,Los Angeles,127850.22
34,Master,1,System Administrator,Customer Support,San Francisco,88979.47
26,Bachelor,2,Software Engineer,Marketing,Chicago,70937.26
53,PhD,26,Data Analyst,Product,Chicago,165366.59
43,Bachelor,2,Software Engineer,HR,Los Angeles,92410.57
44,PhD,11,Manager,Marketing,New York,184378.63
44,PhD,11,Data Analyst,Product,New York,152046.87
53,Bachelor,31,Product Manager,Finance,Seattle,202767.34
36,High School,14,Manager,Finance,Seattle,115063.22
23,PhD,1,Product Manager,HR,Chicago,121098.19
47,Associate,9,Data Scientist,IT,Seattle,103961.9
41,PhD,5,Data Scientist,Product,New York,154909.61
42,PhD,18,Consultant,Operations,Seattle,171368.44
29,Master,3,Manager,Marketing,Seattle,104331.33
58,PhD,33,Data Analyst,Customer Support,Chicago,178138.58
34,Bachelor,11,Data Analyst,Product,Chicago,84895.65
54,Bachelor,20,Product Manager,Customer Support,San Francisco,182396.34
53,Master,2,Product Manager,HR,Seattle,117256.03
47,High School,6,Data Analyst,HR,Los Angeles,66730.0
22,High School,0,Product Manager,Product,New York,61148.44
38,PhD,14,Business Analyst,Finance,Austin,125520.07
24,High School,0,Consultant,Product,New York,40453.58
35,Master,5,Software Engineer,Operations,San Francisco,112715.92
55,Master,29,Manager,Customer Support,Boston,205654.85
29,Bachelor,3,Product Manager,Product,Seattle,94339.94
24,Associate,0,Manager,Product,Austin,60986.17
55,PhD,22,Manager,Operations,San Francisco,235114.55
55,PhD,14,Data Scientist,IT,Seattle,182530.7
34,High School,8,Software Engineer,Finance,Chicago,69993.69
35,PhD,0,Business Analyst,Finance,Austin,86849.9
28,High School,4,Product Manager,Customer Support,Seattle,78472.9
56,Bachelor,25,QA Engineer,Marketing,Seattle,142214.05
42,Master,20,QA Engineer,HR,Boston,130293.92
45,Master,17,Software Engineer,Marketing,Los Angeles,156934.9
48,Bachelor,17,Business Analyst,Customer Support,Seattle,122239.77
26,PhD,3,Software Engineer,Marketing,Austin,107689.52
29,Master,6,QA Engineer,HR,Boston,86069.84
39,Bachelor,6,Data Scientist,HR,Seattle,97348.89
40,Master,18,Product Manager,Finance,Boston,174675.59
36,High School,9,Consultant,Marketing,San Francisco,84075.34
51,PhD,25,System Administrator,Finance,Seattle,174024.62
43,PhD,7,System Administrator,HR,New York,133233.13
45,Master,20,Data Scientist,Operations,New York,181841.32
32,PhD,10,System Administrator,Operations,Austin,101179.84
58,Associate,16,Consultant,Finance,Seattle,125488.17
26,Master,1,Business Analyst,Product,Boston,75499.87
43,Associate,13,Data Analyst,HR,Chicago,92875.92
32,Bachelor,7,Software Engineer,Product,Austin,81883.42
55,Associate,23,Software Engineer,Finance,Seattle,150735.38
37,Master,2,Software Engineer,Marketing,Los Angeles,104149.1
52,PhD,16,QA Engineer,Product,Chicago,136132.36
50,High School,13,Business Analyst,IT,Los Angeles,117860.93
44,Bachelor,15,QA Engineer,Product,Los Angeles,118003.0
58,PhD,21,System Administrator,Operations,Seattle,161840.08
44,Master,6,Data Scientist,Product,San Francisco,140179.1
49,Master,27,Software Engineer,Finance,Seattle,189958.47
52,Associate,10,Product Manager,Customer Support,San Francisco,125696.44
31,PhD,0,Consultant,Marketing,Los Angeles,121543.68
31,Master,7,System Administrator,Finance,Chicago,91972.52
38,Associate,16,Data Analyst,IT,San Francisco,118467.89
57,PhD,23,System Administrator,Finance,Austin,137939.74
48,High School,3,Manager,Operations,San Francisco,86106.54
50,High School,17,Data Analyst,Product,Los Angeles,109695.52
32,Associate,7,Manager,Marketing,Seattle,90071.59
48,Master,5,Data Scientist,IT,San Francisco,135578.56
41,Associate,8,Manager,Product,Austin,90340.98
46,Bachelor,9,Business Analyst,HR,Los Angeles,99604.04
46,High School,4,Manager,Marketing,New York,81787.12
23,High School,0,Manager,Customer Support,San Francisco,68371.93
51,Master,3,Data Analyst,Operations,New York,99026.72
27,Bachelor,4,Manager,Product,Boston,91142.42
48,Bachelor,4,Business Analyst,Product,New York,99255.55
52,Bachelor,17,Consultant,Finance,Boston,133266.03
42,PhD,16,Data Analyst,Operations,Boston,141003.2
45,PhD,6,System Administrator,Customer Support,Seattle,115266.25
26,Associate,2,Manager,Finance,New York,73203.94
22,Bachelor,0,Data Analyst,IT,Boston,63255.94
29,Bachelor,0,Data Scientist,HR,Seattle,80853.14
57,Master,34,Product Manager,Finance,Los Angeles,251086.56
32,High School,2,Data Analyst,HR,Los Angeles,53944.43
24,Master,2,QA Engineer,Marketing,New York,83446.65
35,High School,4,Consultant,IT,San Francisco,76931.11
50,PhD,22,Software Engineer,Finance,New York,202240.69
39,PhD,10,Data Analyst,Customer Support,Austin,102869.56
58,Associate,2,Software Engineer,Operations,San Francisco,84732.48
44,PhD,22,Data Analyst,Finance,Los Angeles,180881.05
38,High School,5,Data Analyst,Customer Support,Chicago,63135.94
35,PhD,8,Software Engineer,Marketing,San Francisco,155944.35
34,Bachelor,9,Consultant,Operations,Chicago,92134.41
41,High School,14,Manager,Operations,Seattle,114081.15
30,Bachelor,0,System Administrator,Product,San Francisco,66655.84
52,High School,12,Consultant,Product,Austin,89283.84
30,PhD,0,Software Engineer,Product,San Francisco,135337.65
49,Bachelor,9,Business Analyst,Finance,Austin,89716.17
54,Bachelor,31,Data Scientist,Finance,Chicago,179695.31
48,Bachelor,17,Data Scientist,Finance,Los Angeles,165956.08
30,Master,4,Product Manager,Operations,Los Angeles,121023.1
58,High School,35,Data Analyst,HR,New York,168809.59
36,Associate,8,Software Engineer,Finance,New York,99812.25
57,Associate,26,Manager,Customer Support,Seattle,168506.63
23,PhD,0,Manager,Product,New York,132273.8
59,Master,15,Product Manager,Product,Los Angeles,173159.98
31,PhD,3,Data Scientist,Finance,Boston,133112.91
35,Associate,5,Data Analyst,IT,Boston,80193.04
59,PhD,37,Data Analyst,HR,San Francisco,241006.56
53,Bachelor,1,Consultant,HR,Los Angeles,85910.59
29,Associate,1,QA Engineer,Customer Support,Los Angeles,62711.34
51,Master,5,System Administrator,IT,New York,112225.02
44,Master,18,Consultant,Customer Support,New York,154341.98
30,PhD,1,Consultant,Marketing,Austin,99352.85
33,Bachelor,4,Consultant,Product,New York,85055.1
49,High School,26,QA Engineer,Finance,San Francisco,140879.25
26,Master,2,Manager,IT,Chicago,91996.54
58,PhD,14,Manager,Operations,Chicago,175436.34
26,PhD,3,Data Scientist,Operations,Seattle,140538.74
42,Associate,17,Data Analyst,Operations,Los Angeles,110646.09
38,Bachelor,12,Data Analyst,Customer Support,New York,99676.29
58,Master,36,Business Analyst,HR,San Francisco,227883.74
51,PhD,24,Data Analyst,Marketing,Seattle,165134.52
32,Associate,10,System Administrator,Operations,Los Angeles,86288.04
41,Bachelor,8,Data Scientist,IT,New York,116021.16
40,PhD,16,Consultant,IT,Chicago,146813.36
52,Bachelor,16,Software Engineer,Customer Support,Austin,118095.29
44,Master,1,Consultant,Operations,Chicago,88669.12
26,PhD,3,Business Analyst,Operations,Boston,120986.67
53,Associate,9,Manager,Operations,Chicago,104733.22
57,PhD,20,Manager,Marketing,New York,229596.45
33,Master,11,QA Engineer,Marketing,Boston,108022.09
48,High School,6,Business Analyst,Customer Support,Boston,81860.12
50,PhD,3,Software Engineer,Finance,Los Angeles,136460.83
46,Master,3,System Administrator,Customer Support,Chicago,75482.61
30,PhD,6,Manager,Operations,Chicago,125263.35
25,Master,0,Manager,Operations,Boston,92318.15
28,High School,6,Data Scientist,Customer Support,Seattle,72619.91
26,High School,0,Manager,IT,Chicago,51225.95
38,Master,13,Data Analyst,Operations,Los Angeles,129345.77
32,High School,4,Consultant,Operations,San Francisco,69438.47
38,High School,4,Consultant,HR,Chicago,58261.15
55,PhD,29,Manager,HR,Boston,237450.84
41,Associate,2,Product Manager,Marketing,Seattle,92115.24
56,Bachelor,3,Consultant,Finance,Austin,70611.31
30,Master,0,Data Scientist,HR,San Francisco,108028.5
42,PhD,14,Software Engineer,Product,Chicago,147869.82
55,PhD,22,QA Engineer,Product,Seattle,165170.27
56,Master,30,QA Engineer,Marketing,San Francisco,186109.65
37,Master,9,System Administrator,Product,Boston,105614.58
38,PhD,16,Product Manager,Operations,Austin,163011.29
42,Bachelor,11,Manager,Operations,San Francisco,129628.48
57,Associate,25,Product Manager,Customer Support,San Francisco,199578.05
48,Associate,9,Consultant,Product,Seattle,91776.91
45,PhD,5,QA Engineer,Marketing,New York,123337.24
22,PhD,0,Business Analyst,Product,San Francisco,114459.68
55,PhD,29,Manager,Product,San Francisco,260689.79
47,Associate,25,Data Scientist,Product,Los Angeles,166347.22
55,Associate,14,Business Analyst,IT,Boston,114052.01
58,Bachelor,15,Manager,Product,New York,149367.75
30,High School,5,System Administrator,Operations,Seattle,58018.85
51,High School,28,Product Manager,Product,Los Angeles,181376.24
30,Associate,8,QA Engineer,Product,Chicago,65117.75
56,Bachelor,14,Manager,Finance,Los Angeles,150426.65
35,High School,13,Manager,Marketing,New York,110781.25
44,High School,15,Data Scientist,IT,Boston,114703.7
37,PhD,15,Consultant,Product,Austin,131776.74
35,Bachelor,2,Business Analyst,Product,San Francisco,81388.75
40,Bachelor,15,Consultant,Marketing,New York,127443.6
28,Master,6,Data Analyst,Finance,Seattle,96718.47
44,PhD,3,Data Scientist,IT,Boston,132188.23
58,PhD,34,QA Engineer,Finance,New York,206396.65
26,PhD,0,Product Manager,Finance,Seattle,122849.73
45,PhD,6,Data Analyst,Marketing,New York,131380.31
47,High School,22,Product Manager,HR,San Francisco,166991.6
55,High School,31,Manager,Product,New York,180074.13
56,High School,23,Manager,Finance,Boston,163822.3
31,Associate,3,Product Manager,HR,Chicago,88017.56
60,High School,26,Business Analyst,Operations,Seattle,138897.22
36,Associate,4,Software Engineer,Product,San Francisco,82366.03
44,High School,10,Manager,Finance,Austin,84400.9
39,High School,12,Business Analyst,Operations,Chicago,74185.07
53,Master,9,QA Engineer,Finance,Chicago,94616.48
24,High School,0,QA Engineer,Operations,San Francisco,53251.94
50,Master,6,QA Engineer,HR,New York,98840.19
32,Associate,6,Product Manager,Operations,Boston,104614.53
51,Bachelor,26,Manager,Product,Los Angeles,178492.39
35,High School,2,Product Manager,HR,Los Angeles,75272.09
56,Bachelor,22,QA Engineer,HR,New York,136135.59
48,High School,11,Consultant,Operations,Chicago,81954.43
48,Bachelor,0,Software Engineer,Operations,Seattle,80216.01
57,Bachelor,4,Product Manager,Customer Support,Los Angeles,120368.34
56,Bachelor,15,Data Analyst,Marketing,San Francisco,127680.16
24,High School,2,Business Analyst,HR,New York,62462.36
37,Associate,12,Business Analyst,Product,Boston,101702.88
43,Bachelor,16,Product Manager,HR,San Francisco,166331.13
45,Master,14,System Administrator,Marketing,Seattle,114636.46
58,Master,15,Business Analyst,Product,New York,142123.4
33,Associate,10,Product Manager,HR,New York,113662.36
56,High School,32,System Administrator,Customer Support,Seattle,141271.47
50,Bachelor,8,Manager,Customer Support,Chicago,99167.53
37,High School,1,Software Engineer,HR,San Francisco,56110.1
48,PhD,8,QA Engineer,Product,Los Angeles,138322.98
31,PhD,9,Software Engineer,Marketing,Chicago,134939.86
48,PhD,17,QA Engineer,Marketing,Austin,122799.02
55,Bachelor,29,Manager,Customer Support,Los Angeles,199970.69
56,Associate,24,Software Engineer,Operations,New York,144269.57
27,Bachelor,0,Data Scientist,IT,Seattle,73967.98
53,Master,15,Consultant,Finance,San Francisco,154631.43
55,High School,27,Software Engineer,Operations,Chicago,139465.65
52,High School,19,Data Analyst,Operations,Boston,102869.83
43,Bachelor,15,Data Scientist,Operations,Los Angeles,139358.42
46,Associate,11,Business Analyst,Marketing,New York,108113.43
45,Associate,19,Software Engineer,HR,Boston,129743.64
31,PhD,4,Software Engineer,Finance,Chicago,113469.46
49,Associate,14,QA Engineer,HR,Chicago,89376.27
42,High School,8,Data Scientist,IT,San Francisco,97079.56
49,Bachelor,11,Data Analyst,Finance,Boston,100161.05
28,PhD,1,System Administrator,HR,Austin,76966.59
54,Bachelor,8,QA Engineer,Product,Austin,74789.78
49,PhD,8,Consultant,HR,Chicago,127104.23
28,Bachelor,4,Business Analyst,Finance,San Francisco,92220.26
30,Master,4,Software Engineer,IT,Seattle,97111.8
58,Master,26,Data Scientist,Marketing,Boston,200925.73
59,Master,30,Data Scientist,HR,San Francisco,241006.0
36,High School,0,Manager,Finance,San Francisco,71085.93
43,Bachelor,6,Data Scientist,IT,New York,107470.57
52,PhD,14,Software Engineer,IT,Los Angeles,177096.26
40,High School,10,Business Analyst,Operations,Boston,77573.87
57,Associate,13,Consultant,Product,Boston,118451.95
41,Bachelor,7,System Administrator,Customer Support,Chicago,83615.34
23,PhD,1,Manager,Operations,Boston,131346.24
59,PhD,5,Consultant,Finance,New York,143940.75
34,Associate,4,Product Manager,Product,Chicago,81381.85
22,High School,0,System Administrator,IT,Austin,36343.4
39,High School,12,Product Manager,Operations,Seattle,109560.17
53,Master,1,QA Engineer,IT,Boston,92511.33
39,Bachelor,12,Consultant,Customer Support,Austin,86466.92
59,Associate,36,Product Manager,Operations,New York,221687.13
55,Associate,3,Software Engineer,Product,New York,84682.69
27,Associate,1,QA Engineer,Finance,Seattle,55496.81
59,High School,2,Business Analyst,Marketing,Boston,75162.12
50,Master,25,Data Scientist,Operations,Boston,190083.35
28,PhD,2,QA Engineer,Operations,Seattle,108118.38
59,PhD,12,Data Analyst,IT,New York,165465.73
51,Master,13,Product Manager,Product,Seattle,152882.22
38,PhD,14,Business Analyst,HR,Chicago,139801.26
54,Bachelor,29,Data Scientist,Operations,New York,193124.57
24,High School,1,Product Manager,IT,San Francisco,72001.76
32,Master,4,Business Analyst,Operations,San Francisco,110739.37
37,Master,1,Data Analyst,Product,New York,87858.77
37,Master,4,Software Engineer,Operations,Chicago,92081.55
38,Master,4,Consultant,Operations,San Francisco,111342.71
47,Associate,16,Data Scientist,Customer Support,Chicago,115981.01
46,Bachelor,13,Consultant,Customer Support,Seattle,117728.4
29,Bachelor,2,System Administrator,IT,San Francisco,79679.18
39,High School,9,Data Analyst,Customer Support,Seattle,75164.96
52,High School,11,Data Scientist,IT,Boston,102977.38
47,Bachelor,6,Data Scientist,Marketing,Los Angeles,113201.5
31,Associate,4,Product Manager,HR,Boston,84021.53
31,Bachelor,4,Software Engineer,Customer Support,San Francisco,104458.14
31,Associate,7,Data Analyst,Marketing,New York,73702.72
40,PhD,6,QA Engineer,HR,Boston,117592.75
35,Associate,6,Consultant,Finance,Chicago,84772.14
47,Associate,15,Software Engineer,HR,Chicago,111602.68
39,Associate,0,System Administrator,HR,San Francisco,68833.65
49,Master,8,Software Engineer,Finance,Los Angeles,129659.32
51,Master,26,Business Analyst,HR,San Francisco,182277.27
49,PhD,24,Consultant,Operations,Boston,193281.97
30,PhD,2,Data Analyst,Marketing,Austin,93585.12
47,High School,24,System Administrator,Finance,Chicago,107367.61
50,Master,23,Product Manager,Finance,Austin,165218.47
40,PhD,5,Business Analyst,Operations,Los Angeles,125101.43
46,Master,20,Manager,Operations,Los Angeles,183947.39
58,Associate,17,Data Analyst,Customer Support,New York,127895.42
36,PhD,13,Consultant,HR,Seattle,137477.09
42,Master,4,Software Engineer,Customer Support,Austin,89750.3
54,PhD,4,Business Analyst,Finance,Austin,105847.68
25,Associate,3,Software Engineer,Customer Support,Seattle,72107.33
41,Master,15,Business Analyst,Finance,Seattle,137171.29
43,PhD,17,Consultant,Finance,Seattle,171818.08
44,Associate,7,Data Analyst,Product,New York,80201.37
31,High School,0,Consultant,Product,Los Angeles,54730.66
24,High School,2,Consultant,Marketing,Austin,38966.89
31,High School,9,QA Engineer,Finance,Chicago,69398.23
57,Master,32,Data Analyst,Operations,Austin,147863.52
51,Master,15,Consultant,Product,San Francisco,151520.87
56,PhD,28,Product Manager,Marketing,Austin,200359.11
59,Associate,16,Data Scientist,IT,Chicago,124812.66
42,Master,15,Manager,Product,Los Angeles,167464.04
22,Bachelor,0,Manager,Marketing,Boston,76215.19
45,Master,9,Product Manager,Operations,Boston,148331.93
51,Master,25,Software Engineer,Finance,Boston,181151.65
56,PhD,33,System Administrator,Product,San Francisco,227630.87
35,Bachelor,7,Consultant,Marketing,New York,97923.23
55,High School,5,QA Engineer,Marketing,San Francisco,73821.62
32,PhD,8,Business Analyst,Product,Austin,104516.19
35,Bachelor,0,Data Analyst,Finance,San Francisco,84154.73
60,PhD,16,Software Engineer,IT,Austin,149389.54
30,Associate,7,System Administrator,Operations,Los Angeles,89548.08
22,Master,0,Consultant,IT,Seattle,84870.12
36,Master,7,Product Manager,Finance,Austin,113831.68
36,Associate,12,Consultant,Marketing,Los Angeles,106198.56
41,Associate,4,Software Engineer,Finance,Seattle,86288.89
44,High School,11,System Administrator,HR,San Francisco,93190.28
31,PhD,3,QA Engineer,Customer Support,San Francisco,122785.5
41,Master,13,Product Manager,Product,Chicago,136024.82
29,High School,7,Software Engineer,Product,New York,83795.15
51,Bachelor,18,Business Analyst,Product,Chicago,113028.05
40,High School,0,Data Scientist,Customer Support,Chicago,61725.23
24,Associate,0,System Administrator,Customer Support,Los Angeles,52324.49
50,Bachelor,18,Software Engineer,HR,Seattle,141943.19
31,Bachelor,4,Product Manager,Operations,New York,104827.41
59,PhD,28,Manager,HR,Boston,241632.35
28,PhD,5,QA Engineer,Customer Support,Boston,100899.84
48,Master,12,Manager,HR,San Francisco,162416.79
22,Master,0,Manager,Marketing,San Francisco,107941.88
42,PhD,1,System Administrator,HR,Austin,88004.23
44,Master,12,Data Scientist,HR,New York,150719.66
51,Associate,9,Business Analyst,Finance,San Francisco,99782.88
25,PhD,0,System Administrator,Finance,Austin,79410.44
55,High School,18,QA Engineer,Finance,New York,99795.79
32,Master,7,Product Manager,IT,Chicago,120511.45
46,Associate,18,Consultant,Finance,New York,128099.47
48,Associate,8,QA Engineer,IT,San Francisco,91538.23
35,Master,4,Product Manager,Product,Austin,105890.09
39,High School,7,Data Scientist,Finance,Boston,86048.62
31,Master,7,Business Analyst,HR,New York,105590.97
25,Associate,1,System Administrator,IT,Boston,56684.03
46,High School,2,QA Engineer,Finance,San Francisco,72487.35
50,High School,15,Software Engineer,HR,Chicago,96270.59
35,PhD,7,Data Analyst,Operations,San Francisco,135203.24
43,PhD,21,Manager,Marketing,Boston,213588.1
23,Associate,0,Business Analyst,Operations,Los Angeles,70546.56
25,PhD,1,Data Scientist,IT,Los Angeles,132130.94
52,Associate,30,Data Analyst,IT,Los Angeles,159662.12
42,Bachelor,10,Business Analyst,IT,Chicago,92566.7
27,Bachelor,5,Manager,Customer Support,Los Angeles,97336.38
24,Master,0,Data Scientist,Finance,Chicago,91727.41
60,High School,26,Data Analyst,Finance,Austin,112753.3
25,Master,3,Consultant,HR,Seattle,87209.45
43,Bachelor,3,Manager,IT,San Francisco,106775.2
48,PhD,18,Manager,IT,Los Angeles,216425.87
46,PhD,20,Product Manager,HR,Los Angeles,220261.75
36,PhD,3,Manager,Marketing,Boston,144190.18
38,Bachelor,13,Software Engineer,IT,New York,131968.3
58,Associate,15,Data Analyst,HR,Boston,104972.39
47,High School,16,Manager,Product,Boston,123769.05
36,Master,6,Software Engineer,IT,Seattle,106840.37
53,High School,7,Product Manager,Finance,Austin,88671.97
58,PhD,4,System Administrator,Product,New York,127348.69
60,Bachelor,36,Data Analyst,Operations,San Francisco,197153.34
26,Master,0,Data Scientist,Operations,Austin,72207.31
56,PhD,8,Product Manager,Finance,New York,185906.22
52,Master,18,Product Manager,HR,Chicago,158026.66
46,PhD,2,Manager,HR,San Francisco,156290.29
40,Associate,11,Consultant,Marketing,Chicago,94728.75
56,PhD,5,Product Manager,IT,Boston,168264.55
53,Associate,8,Manager,Customer Support,Los Angeles,112851.26
45,Associate,6,Data Scientist,Operations,Boston,95177.75
59,High School,9,Data Scientist,Product,New York,108898.67
22,PhD,0,System Administrator,Customer Support,Seattle,97507.84
46,Associate,5,System Administrator,Product,San Francisco,84386.34
51,Master,3,Business Analyst,IT,New York,104640.59
54,Master,23,Data Analyst,IT,Los Angeles,167351.09
33,Master,2,Manager,IT,Austin,96233.79
59,PhD,22,Data Analyst,Finance,San Francisco,197653.6
24,High School,2,Software Engineer,Customer Support,Seattle,65626.96
28,PhD,4,Data Scientist,Marketing,Chicago,125298.26
59,Bachelor,13,Data Analyst,Operations,Boston,112160.27
60,PhD,35,System Administrator,Operations,Seattle,196816.53
56,PhD,16,Software Engineer,Product,Chicago,158582.59
40,Bachelor,17,System Administrator,Finance,New York,115739.26
30,High School,8,Data Scientist,Customer Support,San Francisco,95403.24
33,High School,11,System Administrator,Finance,Seattle,72946.18
32,High School,8,System Administrator,IT,San Francisco,76290.15
34,High School,2,Data Scientist,Operations,New York,76665.41
45,Bachelor,13,Manager,Operations,San Francisco,146878.44
57,Bachelor,27,Business Analyst,Customer Support,Austin,130284.49
49,Master,11,Consultant,Product,San Francisco,133625.9
40,Associate,8,QA Engineer,Product,Chicago,72006.67
29,Master,2,Product Manager,Product,San Francisco,128653.96
56,Master,16,Consultant,Marketing,Austin,113083.9
33,PhD,8,Manager,Product,Austin,137180.06
25,High School,3,Data Scientist,Operations,Los Angeles,71369.27
39,Bachelor,9,Software Engineer,Marketing,Los Angeles,113241.99
48,PhD,3,Manager,Finance,Los Angeles,144362.34
27,High School,4,Manager,Operations,San Francisco,78927.13
54,Associate,19,System Administrator,HR,Los Angeles,128798.55
24,PhD,2,Consultant,Marketing,Austin,102134.61
51,Master,26,Consultant,Marketing,Chicago,164358.84
34,Associate,2,Business Analyst,HR,Seattle,54521.52
55,PhD,27,QA Engineer,IT,Austin,148687.84
33,PhD,8,QA Engineer,Operations,Boston,114613.77
23,Bachelor,0,Business Analyst,Finance,Austin,56166.83
28,Associate,0,Consultant,Product,New York,67487.55
35,Associate,4,Consultant,HR,San Francisco,85564.46
25,Associate,3,Product Manager,Product,Austin,68200.35
28,Associate,0,Software Engineer,Customer Support,Los Angeles,58273.98
59,Associate,25,Data Analyst,Marketing,Los Angeles,142243.33
26,Bachelor,0,Consultant,Product,New York,78970.36
39,Associate,10,System Administrator,Marketing,Boston,88814.93
29,Associate,6,Manager,Operations,Chicago,73858.36
33,Associate,10,Data Scientist,Finance,Seattle,107325.56
52,Bachelor,5,QA Engineer,Marketing,Seattle,86861.64
41,Master,17,Product Manager,IT,Chicago,156899.24
22,High School,0,Data Analyst,Operations,San Francisco,44487.82
23,High School,1,Data Scientist,HR,Boston,63015.38
45,Associate,14,Consultant,HR,Los Angeles,106444.6
57,Bachelor,5,System Administrator,Customer Support,New York,91665.33
49,PhD,20,Data Scientist,Marketing,Boston,213490.03
31,High School,4,Consultant,Finance,New York,65561.54
28,High School,1,Software Engineer,HR,New York,53919.65
59,Bachelor,21,QA Engineer,Finance,Seattle,135220.52
58,Master,8,System Administrator,Product,New York,113865.34
47,PhD,11,QA Engineer,Marketing,New York,151732.38
35,Bachelor,12,QA Engineer,Finance,Chicago,92575.76
23,Bachelor,1,Data Analyst,Product,Boston,61158.21
25,Bachelor,2,QA Engineer,Customer Support,Austin,45706.28
58,Bachelor,2,Software Engineer,Finance,Chicago,79716.34
58,High School,1,QA Engineer,Product,Boston,64312.31
36,Bachelor,14,Product Manager,Finance,Boston,143442.55
49,Master,12,Business Analyst,HR,New York,130297.18
39,Master,8,System Administrator,Finance,Austin,88771.78
60,Associate,33,Business Analyst,Customer Support,Boston,172894.92
39,PhD,10,System Administrator,Product,Los Angeles,132727.27
60,Bachelor,13,Data Scientist,Operations,San Francisco,156500.99
43,Associate,7,Manager,IT,Chicago,90474.68
40,PhD,18,Business Analyst,Customer Support,New York,167551.55
46,Bachelor,22,Manager,Marketing,New York,168298.31
28,Master,6,Consultant,Marketing,Los Angeles,109213.13
35,High School,13,Business Analyst,IT,Los Angeles,92600.49
42,High School,0,Consultant,IT,San Francisco,58635.38
58,Master,34,QA Engineer,Operations,Seattle,170048.78
30,High School,0,Business Analyst,HR,San Francisco,62952.7
55,Master,20,Data Scientist,IT,Boston,175548.06
22,Bachelor,0,Data Analyst,Finance,Austin,43135.8
26,High School,0,Consultant,HR,Los Angeles,59866.54
56,High School,25,Manager,Finance,Chicago,136883.31
25,Master,3,Product Manager,HR,Chicago,98785.78
40,High School,17,Consultant,Product,Los Angeles,117571.45
48,PhD,23,Consultant,Product,Chicago,172107.04
54,Associate,3,Manager,HR,Seattle,97739.99
37,Associate,13,Data Analyst,Marketing,Austin,91394.12
27,High School,0,Product Manager,Product,Seattle,57322.77
39,Master,1,Data Scientist,Marketing,Chicago,95390.19
46,High School,21,Product Manager,Product,Chicago,133639.72
48,PhD,13,System Administrator,IT,Austin,128093.12
41,Bachelor,0,System Administrator,Product,Chicago,60840.86
55,Associate,0,Business Analyst,Operations,Boston,67711.72
55,PhD,16,Business Analyst,IT,Chicago,157015.24
46,Master,18,Data Scientist,Operations,Austin,142267.7
30,Bachelor,4,System Administrator,Customer Support,Seattle,73882.92
46,Associate,19,Data Scientist,Marketing,Seattle,136687.22
37,Associate,7,Manager,Marketing,Seattle,97819.29
24,PhD,1,Manager,Product,Seattle,124457.74
34,High School,3,System Administrator,Customer Support,San Francisco,62300.07
42,Bachelor,20,Software Engineer,Marketing,San Francisco,151134.54
57,Associate,13,Software Engineer,Customer Support,Los Angeles,110117.04
23,Bachelor,0,System Administrator,Customer Support,Seattle,56157.23
38,Bachelor,16,Software Engineer,Finance,Boston,130049.87
36,High School,5,Data Scientist,Customer Support,New York,84976.04
30,Master,3,Software Engineer,Marketing,Austin,92330.92
52,PhD,23,Data Analyst,HR,San Francisco,194491.38
36,High School,10,Manager,Finance,Austin,79101.02
55,Associate,18,Consultant,Marketing,Boston,129210.62
30,PhD,8,Manager,IT,Austin,129935.51
37,Bachelor,14,Software Engineer,Customer Support,Boston,122259.33
24,Bachelor,0,Consultant,Customer Support,Los Angeles,78722.32
30,Associate,2,Data Analyst,Marketing,Seattle,58480.67
60,High School,38,Data Analyst,HR,Austin,141066.86
52,PhD,26,Product Manager,Operations,Chicago,220665.84
31,Master,9,QA Engineer,Operations,Chicago,85864.63
56,High School,26,System Administrator,Customer Support,Los Angeles,140898.53
42,Associate,5,Manager,Customer Support,Chicago,77279.26
25,PhD,0,Business Analyst,HR,San Francisco,118065.1
45,Bachelor,20,Software Engineer,Operations,Seattle,141057.11
39,Bachelor,4,Data Scientist,Operations,San Francisco,103132.19
35,Master,3,Data Scientist,Customer Support,Seattle,103583.67
55,High School,13,Business Analyst,Product,Seattle,99088.84
34,Bachelor,4,Product Manager,IT,Austin,81732.77
51,Associate,12,Software Engineer,Product,New York,120332.26
55,Bachelor,17,System Administrator,Marketing,New York,125483.99
46,Master,18,System Administrator,Finance,New York,137262.12
39,Bachelor,2,System Administrator,Product,New York,73381.94
56,Master,17,Software Engineer,IT,Chicago,141670.19
49,Associate,18,Business Analyst,Operations,Los Angeles,116834.54
48,Master,11,Data Scientist,Product,Seattle,143153.35
51,Associate,29,Product Manager,IT,Chicago,154164.73
40,High School,1,Data Scientist,HR,New York,63691.18
48,Associate,9,Software Engineer,Marketing,Chicago,93393.7
36,Associate,12,Consultant,Finance,Los Angeles,104899.12
22,PhD,0,Consultant,Finance,New York,103981.82
58,Associate,13,Software Engineer,IT,San Francisco,132762.62
58,Master,35,Consultant,HR,Boston,204668.61
55,Master,17,Software Engineer,IT,Boston,163261.07
27,Bachelor,2,Data Analyst,HR,Austin,62846.8
